start, end, dbtime1, dbtime2, dbtime3, dbtime4, dbtime5
1643315346016, 1643315353424, 236, 0, 133, 4972, 61
1643315346817, 1643315357348, 1167, 0, 789, 4143, 2528
1643315347609, 1643315359373, 5091, 0, 122, 4546, 61
1643315348414, 1643315359373, 4288, 0, 151, 4618, 61
1643315349214, 1643315359455, 3413, 0, 273, 4628, 142
1643315350025, 1643315359373, 1345, 0, 517, 5653, 59
1643315350823, 1643315357240, 848, 0, 221, 3431, 66
1643315351631, 1643315359373, 470, 0, 476, 4825, 60
1643315352436, 1643315360415, 3068, 0, 322, 2800, 22
1643315353219, 1643315360621, 1337, 0, 295, 3796, 92
1643315354019, 1643315359373, 347, 0, 175, 3054, 61
1643315354831, 1643315362104, 2864, 0, 314, 2109, 66
1643315355634, 1643315365979, 2478, 0, 207, 2421, 3240
1643315356431, 1643315365935, 1782, 0, 176, 5756, 54
1643315357236, 1643315362038, 354, 0, 540, 2036, 161
1643315358040, 1643315370155, 1944, 0, 412, 7766, 70
1643315358836, 1643315370154, 1035, 0, 347, 8007, 66
1643315359633, 1643315370155, 237, 0, 347, 8029, 69
1643315360434, 1643315370154, 87, 0, 509, 7065, 68
1643315361248, 1643315375446, 3482, 0, 174, 5090, 3524
1643315362048, 1643315375446, 251, 0, 494, 7983, 2867
1643315362836, 1643315375269, 3306, 0, 308, 6946, 41
1643315363641, 1643315375446, 2433, 0, 281, 7246, 110
1643315364448, 1643315371307, 1716, 0, 364, 2793, 101
1643315365242, 1643315382393, 5312, 0, 751, 5908, 3231
1643315366046, 1643315374325, 401, 0, 228, 5623, 39
1643315366847, 1643315382392, 3732, 0, 729, 6457, 2679
1643315367655, 1643315382393, 2793, 0, 934, 5320, 3924
1643315368448, 1643315382393, 2131, 0, 741, 6001, 3231
1643315369253, 1643315382393, 1362, 0, 737, 5226, 4031
1643315370059, 1643315382393, 550, 0, 796, 5915, 3232
1643315370853, 1643315376417, 2435, 0, 547, 519, 134
1643315371646, 1643315384033, 4370, 0, 240, 5508, 62
1643315372458, 1643315383978, 3461, 0, 212, 5988, 10
1643315373253, 1643315392793, 2665, 0, 338, 11578, 3041
1643315374050, 1643315380198, 469, 0, 202, 3292, 226
1643315374873, 1643315384031, 1034, 0, 172, 5963, 62
1643315375664, 1643315384063, 342, 0, 263, 5853, 94
1643315376467, 1643315390429, 1159, 0, 451, 10386, 95
1643315377280, 1643315384608, 210, 0, 513, 4729, 110
1643315378069, 1643315392951, 342, 0, 192, 9617, 2911
1643315378865, 1643315387457, 4267, 0, 297, 2083, 139
1643315379673, 1643315392240, 3353, 0, 207, 7132, 107
1643315380466, 1643315392886, 165, 0, 417, 7150, 2845
1643315381285, 1643315392953, 123, 0, 372, 6560, 2741
1643315382079, 1643315386309, 942, 0, 293, 1077, 101
1643315382873, 1643315392111, 181, 0, 395, 6430, 422
1643315383671, 1643315389119, 145, 0, 280, 3157, 118
1643315384489, 1643315391974, 247, 0, 197, 5157, 43
1643315385276, 1643315399115, 6471, 0, 228, 2216, 3030
1643315386089, 1643315394336, 519, 0, 162, 5561, 92
1643315386881, 1643315394485, 157, 0, 206, 5453, 93
1643315387682, 1643315394484, 215, 0, 179, 4444, 92
1643315388476, 1643315399443, 4097, 0, 179, 4841, 29
1643315389279, 1643315399306, 392, 0, 192, 5335, 2106
1643315390088, 1643315403864, 2932, 0, 144, 8609, 278
1643315390894, 1643315399704, 2284, 0, 240, 4378, 16
1643315391683, 1643315396884, 567, 0, 153, 2552, 167
1643315392500, 1643315400808, 1237, 0, 467, 4473, 198
1643315393290, 1643315402091, 155, 0, 145, 6455, 34
1643315394099, 1643315402184, 1072, 0, 413, 4833, 58
1643315394894, 1643315404426, 657, 0, 122, 5341, 1545
1643315395698, 1643315402055, 3368, 0, 370, 511, 200
